
 epoch:57, val_loss:1.1151, acc:0.7045, acc_cls:0.1575, mean_iu:0.1004, fwavacc:0.5560
 epoch:58, train_loss:0.9234, acc:0.7289, acc_cls:0.1575, mean_iu:0.1121, fwavacc:0.5725
 epoch:58, val_loss:1.0148, acc:0.7224, acc_cls:0.1587, mean_iu:0.1137, fwavacc:0.5600
 epoch:59, train_loss:0.9334, acc:0.7288, acc_cls:0.1628, mean_iu:0.1156, fwavacc:0.5730
 epoch:59, val_loss:0.9983, acc:0.7246, acc_cls:0.1860, mean_iu:0.1240, fwavacc:0.5716
 epoch:60, train_loss:0.9267, acc:0.7316, acc_cls:0.1617, mean_iu:0.1153, fwavacc:0.5753
 epoch:60, val_loss:1.0488, acc:0.7071, acc_cls:0.2013, mean_iu:0.1292, fwavacc:0.5693
 epoch:61, train_loss:0.9192, acc:0.7323, acc_cls:0.1670, mean_iu:0.1202, fwavacc:0.5761
 epoch:61, val_loss:1.0139, acc:0.7215, acc_cls:0.1967, mean_iu:0.1279, fwavacc:0.5815
 epoch:62, train_loss:0.9016, acc:0.7367, acc_cls:0.1708, mean_iu:0.1228, fwavacc:0.5842
 epoch:62, val_loss:1.0325, acc:0.7124, acc_cls:0.1807, mean_iu:0.1201, fwavacc:0.5697
 epoch:63, train_loss:0.9042, acc:0.7338, acc_cls:0.1722, mean_iu:0.1245, fwavacc:0.5803
 epoch:63, val_loss:1.0340, acc:0.7127, acc_cls:0.1750, mean_iu:0.1155, fwavacc:0.5694
 epoch:64, train_loss:0.8975, acc:0.7370, acc_cls:0.1818, mean_iu:0.1314, fwavacc:0.5851
 epoch:64, val_loss:1.0314, acc:0.7208, acc_cls:0.1683, mean_iu:0.1214, fwavacc:0.5637
 epoch:65, train_loss:0.8804, acc:0.7426, acc_cls:0.1901, mean_iu:0.1394, fwavacc:0.5917
 epoch:65, val_loss:1.0049, acc:0.7238, acc_cls:0.1509, mean_iu:0.1125, fwavacc:0.5588
 epoch:66, train_loss:0.8831, acc:0.7410, acc_cls:0.1930, mean_iu:0.1403, fwavacc:0.5907
 epoch:66, val_loss:0.9946, acc:0.7260, acc_cls:0.1797, mean_iu:0.1243, fwavacc:0.5761
 epoch:67, train_loss:0.8807, acc:0.7397, acc_cls:0.1944, mean_iu:0.1407, fwavacc:0.5896
 epoch:67, val_loss:0.9866, acc:0.7257, acc_cls:0.1713, mean_iu:0.1230, fwavacc:0.5713
 epoch:68, train_loss:0.8769, acc:0.7413, acc_cls:0.1943, mean_iu:0.1424, fwavacc:0.5917
 epoch:68, val_loss:1.0198, acc:0.7190, acc_cls:0.1716, mean_iu:0.1151, fwavacc:0.5663
 epoch:69, train_loss:0.8710, acc:0.7445, acc_cls:0.2051, mean_iu:0.1501, fwavacc:0.5942
 epoch:69, val_loss:1.0091, acc:0.7198, acc_cls:0.1610, mean_iu:0.1149, fwavacc:0.5643
 epoch:70, train_loss:0.8593, acc:0.7482, acc_cls:0.2102, mean_iu:0.1539, fwavacc:0.6013
 epoch:70, val_loss:1.0301, acc:0.7287, acc_cls:0.1768, mean_iu:0.1267, fwavacc:0.5668
 epoch:71, train_loss:0.8608, acc:0.7472, acc_cls:0.2137, mean_iu:0.1562, fwavacc:0.5991
 epoch:71, val_loss:0.9993, acc:0.7180, acc_cls:0.2082, mean_iu:0.1365, fwavacc:0.5779
 epoch:72, train_loss:0.8611, acc:0.7450, acc_cls:0.2108, mean_iu:0.1553, fwavacc:0.5970
 epoch:72, val_loss:0.9968, acc:0.7275, acc_cls:0.1863, mean_iu:0.1332, fwavacc:0.5735
 epoch:73, train_loss:0.8471, acc:0.7485, acc_cls:0.2167, mean_iu:0.1584, fwavacc:0.6021
 epoch:73, val_loss:0.9840, acc:0.7300, acc_cls:0.1816, mean_iu:0.1359, fwavacc:0.5755
 epoch:74, train_loss:0.8431, acc:0.7521, acc_cls:0.2283, mean_iu:0.1670, fwavacc:0.6075
 epoch:74, val_loss:0.9810, acc:0.7291, acc_cls:0.1863, mean_iu:0.1306, fwavacc:0.5778
 epoch:75, train_loss:0.8236, acc:0.7554, acc_cls:0.2359, mean_iu:0.1737, fwavacc:0.6128
 epoch:75, val_loss:0.9830, acc:0.7334, acc_cls:0.2189, mean_iu:0.1560, fwavacc:0.5858
 epoch:76, train_loss:0.8282, acc:0.7524, acc_cls:0.2333, mean_iu:0.1722, fwavacc:0.6083
 epoch:76, val_loss:1.0207, acc:0.7061, acc_cls:0.2379, mean_iu:0.1510, fwavacc:0.5737
 epoch:77, train_loss:0.8324, acc:0.7529, acc_cls:0.2379, mean_iu:0.1762, fwavacc:0.6086
 epoch:77, val_loss:0.9912, acc:0.7304, acc_cls:0.1945, mean_iu:0.1424, fwavacc:0.5785
 epoch:78, train_loss:0.8031, acc:0.7603, acc_cls:0.2509, mean_iu:0.1871, fwavacc:0.6189
 epoch:78, val_loss:1.0240, acc:0.7178, acc_cls:0.1904, mean_iu:0.1330, fwavacc:0.5707
 epoch:79, train_loss:0.8150, acc:0.7561, acc_cls:0.2480, mean_iu:0.1844, fwavacc:0.6133
 epoch:79, val_loss:0.9684, acc:0.7317, acc_cls:0.2241, mean_iu:0.1571, fwavacc:0.5870
 epoch:80, train_loss:0.7984, acc:0.7607, acc_cls:0.2582, mean_iu:0.1915, fwavacc:0.6186
 epoch:80, val_loss:0.9847, acc:0.7234, acc_cls:0.2036, mean_iu:0.1412, fwavacc:0.5849
 epoch:81, train_loss:0.8020, acc:0.7609, acc_cls:0.2575, mean_iu:0.1917, fwavacc:0.6210
 epoch:81, val_loss:0.9883, acc:0.7258, acc_cls:0.2090, mean_iu:0.1470, fwavacc:0.5669
 epoch:82, train_loss:0.7861, acc:0.7640, acc_cls:0.2628, mean_iu:0.1967, fwavacc:0.6246
 epoch:82, val_loss:0.9710, acc:0.7374, acc_cls:0.2081, mean_iu:0.1546, fwavacc:0.5805
 epoch:83, train_loss:0.7888, acc:0.7626, acc_cls:0.2711, mean_iu:0.2026, fwavacc:0.6224
 epoch:83, val_loss:1.0179, acc:0.7312, acc_cls:0.1865, mean_iu:0.1350, fwavacc:0.5715
 epoch:84, train_loss:0.7899, acc:0.7654, acc_cls:0.2742, mean_iu:0.2060, fwavacc:0.6260
 epoch:84, val_loss:0.9775, acc:0.7197, acc_cls:0.2335, mean_iu:0.1560, fwavacc:0.5832
 epoch:85, train_loss:0.7658, acc:0.7689, acc_cls:0.2801, mean_iu:0.2097, fwavacc:0.6320
 epoch:85, val_loss:0.9608, acc:0.7354, acc_cls:0.2471, mean_iu:0.1697, fwavacc:0.5946
 epoch:86, train_loss:0.7633, acc:0.7690, acc_cls:0.2882, mean_iu:0.2182, fwavacc:0.6312
 epoch:86, val_loss:1.0226, acc:0.7195, acc_cls:0.2454, mean_iu:0.1616, fwavacc:0.5813
 epoch:87, train_loss:0.7741, acc:0.7674, acc_cls:0.2857, mean_iu:0.2146, fwavacc:0.6294
 epoch:87, val_loss:1.0140, acc:0.7214, acc_cls:0.2519, mean_iu:0.1688, fwavacc:0.5871
 epoch:88, train_loss:0.7542, acc:0.7720, acc_cls:0.2916, mean_iu:0.2216, fwavacc:0.6364
 epoch:88, val_loss:0.9675, acc:0.7346, acc_cls:0.2295, mean_iu:0.1612, fwavacc:0.5868
 epoch:89, train_loss:0.7495, acc:0.7740, acc_cls:0.2957, mean_iu:0.2236, fwavacc:0.6397
 epoch:89, val_loss:0.9923, acc:0.7161, acc_cls:0.2332, mean_iu:0.1518, fwavacc:0.5792
 epoch:90, train_loss:0.7472, acc:0.7747, acc_cls:0.3091, mean_iu:0.2351, fwavacc:0.6404
 epoch:90, val_loss:0.9324, acc:0.7330, acc_cls:0.2854, mean_iu:0.1900, fwavacc:0.6070
 epoch:91, train_loss:0.7420, acc:0.7749, acc_cls:0.3032, mean_iu:0.2312, fwavacc:0.6402
